latitude,longitude,tweets
51.481581,-3.17909,238204
53.139551,-4.273911,82632
52.415303,-4.08292,64240
53.26928,-4.321285,33849
51.85762,-4.312131,28105
53.22739,-4.129263,27596
52.866667,-4.5,15232
51.62144,-3.943646,14407
51.602628,-3.57966,12038
51.875708,-4.939193,10164
51.680886,-4.160248,9491
51.600774,-3.342314,9376
53.16313,-4.212325,9262
53.118033,-4.127549,8626
51.517099,-0.146084,8405
52.381599,-3.922482,8256
52.855076,-3.668298,8187
52.927842,-4.133384,7907
52.74215,-3.8844,7426
53.044148,-4.283055,6968
52.485205,-3.986391,6447
53.181052,-4.212695,6442
52.888816,-4.417634,5968
51.438798,-3.173507,5671
53.282872,-3.82948,5423
53.04304,-2.992494,5388
52.909911,-3.601584,5325
51.805452,-3.922671,5250
52.968285,-3.446331,5242
51.747112,-4.91223,5242
52.15936,-4.433785,4958
52.919565,-4.233645,4877
51.985162,-4.284689,4826
53.255785,-4.311402,4691
51.399753,-3.282586,4629
51.583768,-3.428319,4481
52.724112,-3.688959,4274
53.137033,-3.795732,4199
52.675484,-3.429018,4198
52.998337,-3.944894,4149
53.147852,-4.194649,3995
53.28333,-3.833333,3994
52.824497,-4.50536,3986
51.88469,-3.99143,3954
51.578829,-3.218134,3414
53.178927,-4.058833,3321
52.685018,-3.456812,3301
51.656991,-3.805476,3284
53.076701,-4.280573,3240
51.864245,-2.238156,3210
52.301537,-3.510641,3171
53.116002,-4.268163,3060
53.037941,-3.588402,3050
53.083333,-4.083333,2822
52.083703,-4.660864,2738
53.268083,-3.7935,2554
31.327119,-89.290339,2526
51.584151,-2.997664,2496
51.99825,-4.243239,2475
52.851572,-4.583756,2458
51.974284,-4.646704,2444
53.281435,-3.241424,2440
52.20399,-4.293585,2425
53.05459,-4.283645,2411
52.143087,-3.373682,2398
53.316687,-3.765209,2382
51.552094,-3.336974,2357
53.053408,-4.25606,2315
51.937404,-4.301702,2309
53.224622,-4.197995,2306
51.799894,-4.136441,2262
53.130937,-4.240614,2137
52.85201,-4.514739,2125
52.037442,-4.468711,2110
51.46209,-3.449581,2049
19.432608,-99.133208,1920
52.904127,-4.062969,1883
53.180068,-4.270603,1861
53.284355,-3.581405,1820
53.293182,-3.72764,1799
51.48333,-3.183333,1752
52.938733,-3.958852,1746
52.590273,-3.853485,1737
52.160501,-4.301919,1732
52.2417,-3.377742,1721
52.174012,-4.25794,1710
51.975551,-3.992338,1691
53.178168,-3.596359,1610
53.022409,-3.729895,1549
53.167203,-3.141903,1548
52.219998,-3.934385,1484
40.714353,-74.005973,1460
52.041675,-4.309198,1458
53.136572,-3.337721,1438
52.826174,-3.301967,1429
51.683157,-3.817567,1423
51.444358,-3.415117,1415
53.183906,-3.425002,1382
53.33105,-4.376968,1381
52.159897,-4.466886,1262
51.542919,-3.374953,1262
51.721203,-3.355544,1258
52.112903,-4.078509,1256
53.114725,-3.310874,1242
52.992992,-4.427481,1187
51.545383,-3.27196,1185
51.74873,-3.381646,1165
51.951833,-4.14701,1126
53.17005,-3.081488,1100
52.465265,-4.022636,1088
52.959065,-3.933458,1079
53.801279,-1.548567,1075
53.242458,-3.11919,1065
53.089918,-3.80065,1061
53.252813,-3.975109,992
52.934569,-4.555834,987
52.903732,-3.927315,960
53.154198,-3.309863,948
51.464284,-3.63499,933
52.185171,-4.15998,919
52.036633,-4.200672,919
53.149734,-3.417586,916
51.866715,-4.102519,879
51.755267,-4.116704,877
53.308051,-3.749941,874
53.079079,-4.313792,859
53.235693,-4.345801,842
51.7306,-3.48812,796
51.703915,-3.312749,789
53.193392,-2.893075,785
53.047479,-4.336862,732
51.696162,-4.083864,723
53.408371,-2.991573,715
53.04875,-3.680885,713
52.660348,-3.146407,712
42.373616,-71.109733,708
50.850340,4.351710,707
53.020583,-4.364979,705
52.433386,-3.969084,688
51.861484,-4.131084,668
51.749598,-4.279998,663
46.661397,-1.448266,663
52.960504,-4.447881,648
53.106152,-3.91236,638
52.958934,-4.199001,636
-37.814107,144.96328,627
51.714108,-3.843856,623
51.455874,-3.371177,614
53.333333,-3.083333,609
53.324061,-3.827609,597
51.59468,-3.784097,591
51.922965,-4.053418,554
52.919911,-4.330451,553
51.662082,-3.946232,552
52.61207,-3.627605,551
